fk_country,fk_year,gdp,pop
62,41,782915402.421095,1437539.0
63,41,371095510.047761,1230849.0
64,41,1045998496.43872,684977.0
65,41,130133845586.88,11038109.0
66,41,520044370.37037,107432.0
67,41,1068030829.75591,56184.0
68,41,19288827158.9035,11735894.0
69,41,712667896.727512,759051.0
70,41,27690169149650.2,53461077539109.3
71,41,171668164082.555,6731195.0
72,41,7103826902.2067,6656725.0
73,41,176405809348.1,797697289590.406
74,41,6813577558.17628,8360225.0
75,41,5850631756845.23,29900583521576.8
76,41,6385858732482.85,32139314724146.1
77,41,535654571182.54,2239424393002.2
78,41,206705099958.278,961669400838.282
79,41,165021012077.81,214072421.0
80,41,329945683301.963,1278442378837.88
81,41,468394937262.37,1059633675.0
82,41,99958806891.4686,3768950.0
83,41,109591707802.216,65544383.0
84,41,48364250943.9051,24628858.0
85,41,9025660361.75842,281462.0
86,41,1143829832319.88,56966397.0
87,41,9005064474.93003,2612205.0
88,41,8460424400.56418,5056174.0
89,41,4968359075956.59,126803861.0
90,41,12705357103.0056,30851606.0
91,41,3654031716.26881,12118841.0
92,41,67254174.3970315,88826.0
93,41,421695769.843918,45461.0
94,41,576178114168.494,46788591.0
95,41,37712842242.5033,1934901.0
96,41,1980738589443.26,4035270946811.09
97,41,932592592.592592,159500.0
98,41,2291889370138.06,4725519821856.69
99,41,2483953102.79488,33026.0
100,41,16330814179.9766,18776371.0
101,41,1507446414530.88,7384772400818.06
102,41,6002721296961.37,30993151083682.1
103,41,887295267.875155,1998630.0
104,41,3402666635857.83,22433389417760.0
105,41,21177470978.4411,435628.0
106,41,6774193548.3871,431896.0
107,41,38857251336.3448,28554415.0
108,41,2647885848.5351,32465.0
109,41,4629247090.97816,16216431.0
110,41,624337145.284622,282507.0
111,41,707906744574.644,97873442.0
112,41,115347500.0,54224.0
113,41,5819856072472.66,30535343464998.6
114,41,2961476518.21292,11239101.0
115,41,4069515579.07114,399212.0
116,41,6849321645.95623,45538332.0
117,41,532013694132.4,1195745981528.4
118,41,1136896123.61298,2450979.0
119,41,1779523344.34106,2695003.0
120,41,4663313620.01707,1215930.0
121,41,1743506531.32652,11229387.0
122,41,93789736842.1053,22945150.0
123,41,11000599098931.6,22605296107568.4
124,41,3922247989.85562,1819141.0
125,41,3420032041.95867,221537.0
126,41,2241753120.21267,11622665.0
127,41,69448756932.5833,122851984.0
128,41,5107329007.0922,5123222.0
129,41,416442786069.652,15899135.0
130,41,171247131268.604,4491202.0
131,41,5494252207.90502,24559500.0
132,41,52623281956.7031,3855266.0
133,41,27613249819170.1,52392675685741.2
134,41,19507452535.7607,2344253.0
135,41,82017743416.2841,154369924.0
136,41,12304115000.0,3001731.0
137,41,51744749133.213,26654439.0
138,41,83669693589.1547,77958223.0
139,41,3521339699.07407,5508297.0
140,41,277551252554.826,1293147607836.51
141,41,61701800000.0,3827108.0
142,41,118310710337.203,10300626.0
143,41,8855705139.55857,5123819.0
144,41,26380608834749.3,49594473170967.9
145,41,17759890109.8901,645937.0
146,41,2067528500.40621,8109989.0
147,41,630429061929.228,3386420411905.1
148,41,189514926213.333,21547390.0
149,41,12257418326.0734,26298773.0
150,41,6013184809.23898,9704287.0
151,41,96074477958.2367,4053602.0
152,41,419933580.931046,429978.0
153,41,635874002.198748,4584067.0
154,41,11784927700.0,5958482.0
155,41,2507240505.8310184,8721465.0
156,41,422468703746.119,1704320048486.98
157,41,423087770312.556,1705379934850.61
158,41,947671969.69697,478998.0
159,41,262835454366.855,8871043.0
160,41,1738100853.05052,1030496.0
161,41,614879764.780006,80060.0
162,41,80590022271.7149,16307654.0
163,41,1388506726.62093,8259137.0
164,41,1732082407187.03,17426659793626.2
165,41,1491891107.95711,5008035.0
166,41,126392233706.79,63066603.0
167,41,2177400505299.62,4478206456171.96
168,41,527700094132.4,1180179221398.0
169,41,204849612.592276,102603.0
170,41,630429061929.228,3386420411905.1
171,41,423087770312.556,1705379934850.61
172,41,8154338232.95978,1332203.0
173,41,21473261837.0176,9893316.0
174,41,274302959053.103,64113547.0
175,41,6193246837.09687,24020697.0
176,41,4312394262751.61,23150665555175.7
177,41,22823255801.8447,3292224.0
178,41,10252345464000.0,282398554.0
179,41,396262962.962963,113813.0
180,41,117140723529.412,24427729.0
181,41,272014693.050806,192074.0
182,41,33815965497462.6,84746979120044.5
183,41,269019710.327456,184008.0
184,41,151753369491.916,46813266.0
185,41,3600683039.73254,9891136.0
186,41,6689957600.0,11834676.0
1,51,847409491176.197,920792331527.746
2,51,15856678596.148,28189672.0
3,51,591582966686.497,784587603322.866
4,51,3449966856.68832,71519.0
5,51,289787338325.391,8481771.0
6,51,423627422092.49,41100123.0
7,51,1148700000.0,85695.0
8,51,1147589183475.73,22019168.0
9,51,391892746544.69,8362829.0
10,51,2032135246.50004,9126605.0
11,51,480951629493.033,10877947.0
12,51,9535344283.47295,9445710.0
13,51,10109618964.2848,16116845.0
14,51,115279077465.226,148391139.0
15,51,50682061053.2016,7592273.0
16,51,25713271276.5957,1213645.0
17,51,10095760000.0,373272.0
18,51,1377177100.0,322106.0
19,51,6634526000.0,63447.0
20,51,19649631314.0482,10223270.0
21,51,2208838108577.09,196353492.0
22,51,4530000000.0,274711.0
23,51,13707370737.0737,396053.0
24,51,1547991317.81183,705516.0
25,51,12786654498.3514,2091664.0
26,51,2142591375.85053,4660067.0
27,51,1617343367486.26,33963412.0
28,51,603434493402.679,7822435.0
29,51,218537551220.123,17004162.0
30,51,6087163874510.73,1348191368.0
31,51,34936305296.8834,21120042.0
32,51,27507499709.071,19878036.0
33,51,21565720044.4634,66391257.0
34,51,13135580695.2473,4437884.0
35,51,286563105192.457,44816108.0
36,51,907978723.547592,656024.0
37,51,1664310769.55229,521212.0
38,51,37658614803.2919,4622252.0
39,51,64524447018.3122,66039332389.2884
40,51,64328000000.0,11290417.0
41,51,25732432719.0773,1129686.0
